Year,Rank,Country,Life evaluation,Change (since 2012),Inequality,Social support,GDP per capita,Healthy Life Expectancy ,Freedom,Generosity,Perceptions of corruption,Positive emotions,Negative emotions,Donated,Volunteered,Helped a stranger
2024,1,Finland,7.736,0.347,2,2,15,18,4,56,2,25,7,56,75,77
2024,2,Denmark,7.521,−0.172,28,4,5,15,10,31,4,11,35,31,60,70
2024,3,Iceland,7.515,0.160,5,1,8,4,3,5,31,8,8,5,66,102
2024,4,Sweden,7.345,−0.135,11,27,12,7,21,20,5,23,24,20,78,71
2024,5,Netherlands,7.306,−0.206,1,28,6,-,41,9,11,41,34,9,46,128
2024,6,Costa Rica,7.274,0.017,58,36,50,29,13,115,70,9,75,115,84,60
2024,7,Norway,7.262,−0.393,17,19,2,5,17,18,8,29,46,18,25,92
2024,8,Israel,7.234,−0.067,15,13,25,9,87,19,32,100,80,19,49,63
2024,9,Luxembourg,7.122,0.068,-,-,-,-,-,-,-,-,-,-,-,-
2024,10,Mexico,6.979,−0.109,71,61,57,79,27,104,59,6,14,104,81,44
2024,11,Australia,6.974,−0.376,36,42,13,12,49,22,19,51,72,22,40,28
2024,12,New Zealand,6.952,−0.269,32,24,24,17,32,25,6,26,45,25,27,41
2024,13,Switzerland,6.935,−0.715,3,20,3,6,20,12,3,54,13,12,52,126
2024,14,Belgium,6.910,−0.057,4,31,11,20,26,48,14,58,37,48,61,114
2024,15,Ireland,6.889,−0.187,8,22,1,16,33,3,10,50,44,3,24,76
2024,16,Lithuania,6.829,1.403,27,3,27,52,62,92,87,69,20,92,115,84
2024,17,Austria,6.810,−0.559,18,25,10,19,54,7,18,62,32,7,48,85
2024,18,Canada,6.803,−0.674,44,35,16,21,68,27,15,56,92,27,22,43
2024,19,Slovenia,6.792,0.732,29,6,23,23,8,40,79,95,57,40,33,123
2024,20,Czechia,6.775,0.485,34,9,26,36,31,44,73,34,71,44,57,61
2024,21,United Arab Emirates,6.759,−0.385,63,92,7,30,14,23,-,80,58,23,14,68
2024,22,Germany,6.753,0.081,31,37,9,24,56,14,9,67,40,14,47,73
2024,23,United Kingdom,6.728,−0.155,7,44,20,25,35,6,16,45,49,6,36,91
2024,24,United States,6.724,−0.358,13,12,4,56,115,16,37,30,51,16,15,22
2024,25,Belize,6.711,-,99,57,83,-,1,96,92,13,16,96,37,21
2024,26,Poland,6.673,0.851,6,34,30,40,37,114,52,113,5,114,126,141
2024,27,Taiwan Province of China,6.669,0.448,33,33,-,-,74,34,42,53,4,34,106,86
2024,28,Uruguay,6.661,0.306,48,17,46,45,18,83,29,27,60,83,105,40
2024,29,Kosovo,6.659,1.437,41,70,77,-,28,17,69,74,-,17,130,51
2024,30,Kuwait,6.629,0.114,125,87,29,-,42,41,-,91,94,41,110,27
2024,31,Serbia,6.606,1.793,45,29,51,57,66,36,61,117,26,36,137,129
2024,32,Saudi Arabia,6.600,0.120,65,59,17,38,-,35,-,43,38,35,90,47
2024,33,France,6.593,−0.171,10,41,18,14,84,45,22,76,47,45,38,130
2024,34,Singapore,6.565,0.019,16,53,-,1,55,24,1,60,28,24,30,65
2024,35,Romania,6.563,1.530,46,81,34,58,38,117,126,70,55,117,135,107
2024,36,Brazil,6.494,−0.355,79,56,62,75,59,71,66,49,90,71,88,50
2024,37,El Salvador,6.492,0.683,98,100,86,73,11,133,20,16,76,133,86,118
2024,38,Spain,6.466,0.144,9,16,22,8,88,32,33,78,89,32,79,48
2024,39,Estonia,6.417,0.991,30,23,35,32,52,39,13,32,25,39,73,95
2024,40,Italy,6.415,0.394,19,52,19,13,103,89,112,103,62,89,100,119
2024,41,Panama,6.407,−0.736,93,38,41,33,44,124,116,3,48,124,102,111
2024,42,Argentina,6.397,−0.165,38,21,52,49,47,112,75,28,59,112,111,55
2024,43,Kazakhstan,6.378,0.707,25,18,42,77,57,49,64,119,3,49,116,136
2024,44,Guatemala,6.362,0.397,131,94,84,-,22,106,74,2,85,106,45,96
2024,45,Chile,6.361,−0.226,53,43,47,28,63,75,85,21,73,75,104,31
2024,46,Viet Nam,6.352,0.819,20,49,78,41,2,129,39,48,2,129,123,98
2024,47,Nicaragua,6.330,0.823,112,60,98,50,39,82,17,14,91,82,51,82
2024,48,Malta,6.316,0.352,43,26,-,11,50,15,67,88,109,15,53,103
2024,49,Thailand,6.222,−0.149,67,50,59,37,16,8,120,12,36,8,74,87
2024,50,Slovakia,6.221,0.252,12,5,37,47,80,80,95,83,33,80,97,133
2024,51,Latvia,6.207,1.161,39,8,38,59,64,66,88,73,53,66,122,124
2024,52,Oman,6.197,−0.656,121,71,40,-,25,29,-,37,43,29,77,17
2024,53,Uzbekistan,6.193,0.570,87,30,90,65,6,33,27,22,42,33,113,109
2024,54,Paraguay,6.172,0.393,110,32,72,84,30,84,108,5,41,84,29,53
2024,55,Japan,6.147,0.083,47,48,28,2,79,130,41,64,9,130,103,142
2024,56,Bosnia and Herzegovina,6.136,1.323,66,47,60,46,89,28,124,96,69,28,120,117
2024,57,Philippines,6.107,1.122,104,68,89,93,19,91,78,7,103,91,4,20
2024,58,Republic of Korea,6.038,−0.229,69,84,21,3,104,55,54,111,70,55,83,108
2024,59,Bahrain,6.030,0.718,108,76,14,-,15,30,-,66,84,30,64,37
2024,60,Portugal,6.013,0.912,57,51,32,22,40,111,122,82,83,111,118,112
2024,61,Colombia,6.004,−0.412,105,55,66,44,73,131,110,15,64,131,112,122
2024,62,Ecuador,5.965,0.100,84,97,76,51,70,122,91,10,110,122,107,121
2024,63,Honduras,5.964,0.822,128,95,103,90,45,69,96,19,86,69,50,42
2024,64,Malaysia,5.955,0.195,76,91,45,55,9,11,72,36,54,11,23,62
2024,65,Peru,5.947,0.171,89,78,73,69,91,128,129,20,112,128,101,113
2024,66,Russian Federation,5.945,0.481,75,65,33,83,101,58,65,112,19,58,85,72
2024,67,Cyprus,5.942,−0.524,55,88,-,10,122,67,128,87,97,67,65,79
2024,68,China,5.921,0.943,85,98,56,26,65,105,-,68,27,105,80,131
2024,69,Hungary,5.915,1.140,50,7,36,48,117,57,115,90,31,57,119,35
2024,70,Trinidad and Tobago,5.905,−0.614,82,58,-,-,82,38,133,24,104,38,31,5
2024,71,Montenegro,5.877,0.578,26,39,48,-,61,99,44,124,65,99,138,137
2024,72,Croatia,5.870,0.209,23,10,31,31,124,119,97,106,39,119,129,139
2024,73,Jamaica,5.870,0.496,-,-,-,76,-,-,-,-,-,-,-,-
2024,74,Bolivia,5.868,0.011,96,86,92,98,76,127,98,42,123,127,96,116
2024,75,Kyrgyzstan,5.858,0.816,24,14,102,64,5,42,77,81,17,42,67,56
2024,76,Dominican Republic,5.846,0.883,133,46,53,63,36,101,34,31,63,101,41,36
2024,77,Mongolia,5.833,0.999,54,11,69,80,113,26,107,110,10,26,21,135
2024,78,Mauritius,5.832,0.355,81,62,49,61,71,70,46,55,6,70,35,99
2024,79,Libya,5.820,0.480,56,82,81,-,77,77,23,105,81,77,99,90
2024,80,Republic of Moldova,5.819,0.028,60,72,70,81,51,116,125,93,78,116,121,78
2024,81,Greece,5.776,0.341,59,77,39,27,136,132,113,109,96,132,82,83
2024,82,Venezuela,5.683,−1.356,97,89,-,74,102,88,36,35,108,88,9,2
2024,83,Indonesia,5.617,0.269,100,74,75,85,24,1,123,4,77,1,1,46
2024,84,Algeria,5.571,0.149,22,69,74,39,75,123,-,131,30,123,127,69
2024,85,Bulgaria,5.554,1.573,40,15,44,71,83,85,130,108,15,85,141,104
2024,86,North Macedonia,5.503,0.929,51,54,54,60,119,46,131,135,61,46,133,132
2024,87,Armenia,5.494,1.178,70,93,61,53,60,136,51,128,138,136,134,97
2024,88,Hong Kong SAR of China,5.491,−0.032,21,64,-,-,90,54,7,120,18,54,89,115
2024,89,Albania,5.411,−0.139,95,111,65,35,34,72,114,115,87,72,140,105
2024,90,Tajikistan,5.411,1.031,14,40,112,67,-,134,12,39,23,134,11,58
2024,91,Georgia,5.400,1.213,49,85,55,70,48,141,43,114,11,141,98,67
2024,92,Nepal,5.311,1.155,116,105,110,89,78,76,93,138,100,76,55,100
2024,93,Lao PDR,5.301,0.514,90,119,97,87,29,43,28,65,82,43,117,138
2024,94,Türkiye,5.262,−0.083,37,73,43,42,140,107,94,142,101,107,128,120
2024,95,South Africa,5.213,0.250,127,80,79,114,96,121,106,46,56,121,76,74
2024,96,Mozambique,5.190,0.219,140,102,133,117,100,97,38,99,127,97,34,81
2024,97,Gabon,5.120,1.006,111,99,64,101,99,110,84,92,130,110,108,11
2024,98,Côte d’Ivoire,5.102,-,106,133,101,-,112,79,40,71,106,79,72,26
2024,99,Iran,5.093,0.450,78,75,71,54,132,13,57,127,136,13,109,19
2024,100,Congo,5.030,0.733,139,134,105,105,111,113,58,130,133,113,59,23
2023,1,Finland,7.741,0.352,4,6,20,18,4,49,3,48,8,49,72,99
2023,2,Denmark,7.583,−0.110,12,18,7,15,14,32,2,20,36,32,65,84
2023,3,Iceland,7.525,0.170,3,1,10,4,16,4,45,11,14,4,63,127
2023,4,Sweden,7.344,−0.136,19,15,15,7,12,23,6,33,19,23,105,89
2023,5,Israel,7.341,0.040,37,4,28,9,72,25,27,132,141,25,45,74
2023,6,Netherlands,7.319,−0.193,2,19,8,-,54,11,12,61,24,11,32,128
2023,7,Norway,7.302,−0.353,8,5,4,5,7,10,4,22,34,10,35,113
2023,8,Luxembourg,7.122,0.068,6,43,1,-,18,33,9,27,20,33,34,126
2023,9,Switzerland,7.060,−0.590,20,26,5,6,31,27,5,31,13,27,53,133
2023,10,Australia,7.057,−0.293,28,28,16,12,36,16,15,36,52,16,27,31
2023,11,New Zealand,7.029,−0.192,13,11,27,17,35,19,7,34,35,19,26,83
2023,12,Costa Rica,6.955,−0.302,55,45,55,29,8,80,67,9,69,80,77,24
2023,13,Kuwait,6.951,0.436,38,35,32,-,30,26,-,38,27,26,23,70
2023,14,Austria,6.905,−0.464,15,46,12,19,38,12,20,49,44,12,68,117
2023,15,Canada,6.900,−0.577,42,27,19,21,56,15,14,40,81,15,25,46
2023,16,Belgium,6.894,−0.073,7,29,14,20,41,34,19,41,50,34,59,98
2023,17,Ireland,6.838,−0.238,16,16,3,16,23,9,11,32,48,9,42,88
2023,18,Czechia,6.822,0.532,26,14,30,36,20,43,96,28,56,43,67,67
2023,19,Lithuania,6.818,1.392,27,42,33,52,105,124,60,130,23,124,126,137
2023,20,United Kingdom,6.749,−0.134,23,38,23,25,37,8,17,46,68,8,57,102
2023,21,Slovenia,6.743,0.683,33,22,29,23,10,41,59,95,59,41,50,123
2023,22,United Arab Emirates,6.733,−0.411,47,92,9,30,32,18,-,77,82,18,19,54
2023,23,United States,6.725,−0.357,60,53,6,56,110,14,50,55,70,14,15,11
2023,24,Germany,6.719,0.047,11,32,13,24,58,31,13,56,39,31,55,94
2023,25,Mexico,6.678,−0.410,58,51,61,79,42,99,64,8,41,99,87,68
2023,26,Uruguay,6.611,0.256,51,25,50,45,22,72,35,24,64,72,93,33
2023,27,France,6.609,−0.155,17,61,22,14,80,47,22,67,33,47,39,138
2023,28,Saudi Arabia,6.594,0.114,61,40,21,38,-,39,-,35,45,39,71,25
2023,29,Kosovo,6.561,1.339,65,78,81,-,28,17,86,64,-,17,133,71
2023,30,Singapore,6.523,−0.023,9,17,2,1,48,5,1,72,17,5,12,14
2023,31,Taiwan Province of China,6.503,0.282,25,49,-,-,74,38,28,29,1,38,83,72
2023,32,Romania,6.491,1.458,67,72,39,58,52,114,127,90,66,114,139,109
2023,33,El Salvador,6.469,0.660,118,96,88,73,6,110,18,6,89,110,49,69
2023,34,Estonia,6.448,1.022,14,2,36,32,17,45,8,16,11,45,88,103
2023,35,Poland,6.442,0.620,5,34,35,40,81,127,36,111,5,127,135,141
2023,36,Spain,6.421,0.099,22,20,31,8,77,57,39,78,93,57,91,85
2023,37,Serbia,6.411,1.598,62,30,56,57,69,40,73,122,26,40,137,132
2023,38,Chile,6.360,−0.227,43,47,51,28,68,66,99,12,63,66,102,53
2023,39,Panama,6.358,−0.785,112,37,45,33,50,95,115,3,61,95,48,56
2023,40,Malta,6.346,0.382,40,21,17,11,51,3,72,82,110,3,37,97
2023,41,Italy,6.324,0.303,63,60,24,13,117,63,91,87,75,63,94,106
2023,42,Guatemala,6.287,0.322,127,82,87,-,39,92,87,1,80,92,14,35
2023,43,Nicaragua,6.284,0.777,133,67,100,50,19,89,21,13,99,89,46,49
2023,44,Brazil,6.272,−0.577,93,56,66,75,43,78,52,60,86,78,81,59
2023,45,Slovakia,6.257,0.288,18,8,42,47,93,91,93,81,42,91,101,134
2023,46,Latvia,6.234,1.188,24,12,43,59,67,37,81,70,60,37,120,108
